"ID"	"kmer_coverage"	"bioproject"	"biosample"	"bioproject_title"	"bioproject_description"	"refs"	"sample_acc"	"assay_type"	"center_name"	"experiment"	"sample_name"	"organism"	"longitude"	"latitude"	"selected_location"	"locations"	"disease_source"	"disease_text"	"do_label"	"do_id"	"tissue"	"tissue_source"	"tissue_text"	"bto_id"	"contigs_n50"	"contigs_nbseq"	"contigs_maxlen"	"contigs_sumlen"	"unitigs_n50"	"unitigs_nbseq"	"unitigs_maxlen"	"unitigs_sumlen"	"instrument"	"librarylayout"	"libraryselection"	"librarysource"	"library_name"	"platform"	"sra_study"	"releasedate"	"mbytes"	"avgspotlen"	"mbases"	"biosamplemodel_sam"	"collection_date_sam"	"location_count"	"location_avg_coverage"	"location_max_coverage"	"location_min_coverage"	"location_med_coverage"
"SRR5765655"	"1"	"PRJNA392299"	"SAMN07290467"	"ATAC-seq on HSV-1 infected primary human fibroblasts (time course)"	"Primary human foreskin fibroblasts (HFF) were infected with wild-type simplex virus 1 (HSV-1) strain 17 at a multiplicity of infection (MOI) of 10. ATAC-seq libraries were prepared starting with 50,000 cells per condition following the protocol described by Buenrostro et al., Nature Methods 2013Overall design: HFF were infected with HSV-1 strain 17 for 0 to 8 h post infection. ATAC-seq samples were prepared at the indicated times of infection. Two independent biological replicates were analyzed."	"PubMed:29579120,40130876"	"SRS2322711"	"ATAC-seq"	"GEO"	"SRX2965235"	"GSM2688939"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"174"	"250600"	"2513"	"18995933"	"51"	"5272519"	"1147"	"256296464"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	""	"ILLUMINA"	"SRP110695"	"2018-03-08T00:00:00"	"722"	"139"	"1606"	""	""	"0"	""	""	""	""
"SRR10876876"	"1"	"PRJNA600888"	"SAMN13836106"	"Parallel analysis of H3K9ac reveals Dux-dependent 2C activation deficiency in mouse SCNT embryos"	"Somatic cell nuclear transfer (SCNT) enables gaining of totipotency by reprogramming nuclei of terminally differentiated donor cell. Recent studies have clearly demonstrated that intervention of epigenetic networks can significantly elevate both in vitro and in vivo development potential of NT embryos. Specifically, trichostatin A (TSA), a kind of histone deacetylase inhibitors (HDACi), was proved to functionally works during cloning in various mammal systems. However, how it modulates histone acylation lacks careful illustration. Here, we systematically evaluate the effect and limitation of TSA during SCNT embryo development by generating genome-wide H3K9ac maps. In addition, a Dux-dependent 2-cell (2C) activation deficiency is observed in SCNT embryos as compared with their natural fertilized counterparts. Strikingly, a refined Dux supplement can successfully assist SCNT embryos in overcoming the 2C activation defect and further promotes the overall cloning efficiency. Together, our study for the first time reveals the regulation mechanism of histone marker H3K9ac in SCNT and provides the new insight of Dux during embryogenesis.Overall design: Examination of H3K9ac in IVF/NF and SCNT mouse preimplantation embryos."	"PubMed:33049217"	"SRS5984201"	"RNA-Seq"	"GEO"	"SRX7546433"	"GSM4261227"	"Mus musculus"	""	""	""	""	""	""	""	""	""	""	""	""	"39"	"4131759"	"7616"	"226622761"	"33"	"41058753"	"2889"	"1538223617"	"Illumina NovaSeq 6000"	"PAIRED"	"cDNA"	"TRANSCRIPTOMIC"	""	"ILLUMINA"	"SRP241716"	"2020-10-20T00:00:00"	"7012"	"300"	"22372"	""	""	"0"	""	""	""	""
"SRR27022106"	"1"	"PRJNA1047640"	"SAMN38572611"	"Heterogenous silencing by H3K27me2 in HSV-1 lytic infection"	"Human foreskin fibroblasts (HFFs) infected with strain 17 HSV-1 at an MOI 3 PFU/cell for 2 or 4 hours before CUT&amp;RUN assays for IgG, H3K27me2 or H3K27me3. Cells were either pre-treated with GSK-J4 and treated throughout infection, or untreated controls."	""	"SRS19706600"	"OTHER"	"UNIVERSITY OF VIRGINIA"	"SRX22714472"	"2hGSKJ4IgG_B"	"Human alphaherpesvirus 1"	"-78.47777"	"38.03219"	"geo_loc_name"	"{""geo_loc_name_country_calc"": [-77.03196, 38.89036], ""geo_loc_name_sam"": [""-78.47777"", ""38.03219""]}"	""	""	""	""	""	""	""	""	"177"	"829858"	"4929"	"76898872"	"86"	"6915594"	"1929"	"426932688"	"Illumina NovaSeq 6000"	"PAIRED"	"ChIP"	"GENOMIC"	"D37"	"ILLUMINA"	"SRP475378"	"2023-12-08T00:00:00"	"538"	"300"	"1722"	"Viral"	""	"18"	"0.93"	"1"	"0.55"	"1"
"SRR18095287"	"1"	"PRJNA809189"	"SAMN26149594"	"IFI16 ChIP-seq of ICP0-RF mutant HSV-1 (strain 17) infection in HFF-1 cells"	"HFF-1 cells were infected with an ICP0-RF mutant HSV-1 at an MOI of 10 PFU/cell for one, three, or six hours. ChIP-seq for the DNA sensor IFI16 and control IgG was performed. Illumina libraries were generated for IP and input samples, and sequencing was performed at the Princeton University Genomics Core Facility on a NovaSeq 6000 to generate 50 bp paired-end reads."	"PMC:9239196"	"SRS12066473"	"ChIP-Seq"	"PRINCETON UNIVERSITY"	"SRX14246273"	"IFI16 ChIP-seq timecourse"	"Human alphaherpesvirus 1"	""	""	""	""	""	""	""	""	""	""	""	""	"32"	"279905"	"7776"	"10292694"	"48"	"14250322"	"1570"	"615617273"	"Illumina NovaSeq 6000"	"PAIRED"	"PCR"	"GENOMIC"	"1 hpi IFI16_1"	"ILLUMINA"	"SRP360886"	"2022-02-23T00:00:00"	"771"	"102"	"2638"	"Pathogen.cl"	""	"0"	""	""	""	""
"SRR8787267"	"1"	"PRJNA529207"	"SAMN11258651"	"Subcellular RNA fractions of primary human fibroblasts infected with the HSV-1 delta-ICP27 mutant"	"Primary human foreskin fibroblasts (HFF) were infected with the ICP27 null mutant of herpes simplex virus 1 (HSV-1) strain 17 at a multiplicity of infection (MOI) of 10. Subcellular RNA fractions including total RNA, cytoplasmic RNA, nucleoplasmic RNA and chromatin-associated RNA were prepared and subjected to RNA-seqOverall design: HFF were infected with the ICP27-null mutant of HSV-1 strain 17 for 8h. Subcellular RNA fractions were prepared combining the following two protocols (PMID: 19656867, RNA 2009; and PMID: 23449254, Nature Protocols 2013) as described in Hennig et al., PLoS Pathogens 2018  (https://doi.org/10.1371/journal.ppat.1006954). Two independent biological replicates were analysed. Data for HFF infected with wild-type HSV-1 strain 17 for 8h (or mock) found under accession GSE100576 were re-analyzed for this study."	"PubMed:32341360"	"SRS4539084"	"RNA-Seq"	"GEO"	"SRX5577089"	"GSM3687899"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"200"	"820250"	"8602"	"70183836"	"55"	"7015467"	"3435"	"369908769"	"NextSeq 500"	"PAIRED"	"cDNA"	"TRANSCRIPTOMIC"	""	"ILLUMINA"	"SRP189489"	"2020-04-10T00:00:00"	"1579"	"152"	"4588"	""	""	"0"	""	""	""	""
"SRR5765637"	"1"	"PRJNA392299"	"SAMN07290469"	"ATAC-seq on HSV-1 infected primary human fibroblasts (time course)"	"Primary human foreskin fibroblasts (HFF) were infected with wild-type simplex virus 1 (HSV-1) strain 17 at a multiplicity of infection (MOI) of 10. ATAC-seq libraries were prepared starting with 50,000 cells per condition following the protocol described by Buenrostro et al., Nature Methods 2013Overall design: HFF were infected with HSV-1 strain 17 for 0 to 8 h post infection. ATAC-seq samples were prepared at the indicated times of infection. Two independent biological replicates were analyzed."	"PubMed:29579120,40130876"	"SRS2322708"	"ATAC-seq"	"GEO"	"SRX2965233"	"GSM2688937"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"120"	"109515"	"16769"	"6715436"	"55"	"1898537"	"750"	"97721967"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	""	"ILLUMINA"	"SRP110695"	"2018-03-08T00:00:00"	"239"	"135"	"652"	""	""	"0"	""	""	""	""
"SRR9668619"	"1"	"PRJNA553809"	"SAMN12251534"	"HSV-1 infection timecourse of wildtype and Hpse-deficient MEFs"	"Herpes simplex viruses remain important pathogens with global burdens of disease. Containing a large double stranded DNA genome and capable of infecting virtually any cell type, HSV-1 serves as an excellent tool to probe connections between cellular signaling and response pathways. This study has the goal of understanding how heparanase (HPSE), a protein best known for its glycosidic activities at the extracellular matrix, promotes cell survival and thus viral pathogenesis. As upregulation of HPSE is both a major cause and marker of late stage inflammatory pathologies and various forms of cancer, these findings expose a valuable direction for design of multitarget interventions for human disease."	"PMC:8119219"	"SRS5084303"	"RNA-Seq"	"UNIVERSITY OF ILLINOIS AT CHICAGO"	"SRX6429089"	"WT_36C"	"Mus musculus"	""	""	""	""	""	""	""	""	"embryo"	"tissue"	"embryo"	"BTO_0001233"	"352"	"302095"	"8752"	"52295128"	"52"	"4390506"	"2560"	"235011081"	"Illumina HiSeq 4000"	"PAIRED"	"RANDOM"	"TRANSCRIPTOMIC"	"WT36C_S12"	"ILLUMINA"	"SRP214142"	"2020-08-07T00:00:00"	"998"	"300"	"2503"	"Model organism or animal"	""	"0"	""	""	""	""
"SRR20614585"	"1"	"PRJNA861940"	"SAMN29933662"	"HSV-1 exploits host heterochromatin for egress [RNA-seq]"	"Herpes simplex virus replicates and forms progeny in the nucleus where it must overcome host chromatin to establish a successful infection. During lytic infection, newly formed viral capsids navigate through heterochromatin channels at the nuclear periphery to egress out of the nucleus. In uninfected cells, specific histone marks such as trimethylation on histone H3 lysine 27 (H3K27me3) and the histone variant macroH2A1 delineate heterochromatin regions, or repressed chromatin, that are predominantly located in the nuclear periphery. We examined these markers during HSV-1 lytic infection in primary cells and discovered a striking increase in the levels of macroH2A1 and H3K27me3. Here, we demonstrate that the loss of macroH2A1 results in significantly lower viral titers but does not impair viral transcription, protein production, or replication. By inhibiting the deposition of H3K27me3 by EZH2, we further show that reduction of H3K27me3 also leads to a significant decrease in viral titers. Through chromatin profiling via Cleavage Under Targets and tagmentation (CUT&Tag) of macroH2A1 and H3K27me3, we define the specific chromatin regions that change dynamically during HSV-1 lytic infection and show that regions with increased macroH2A1 and H3K27me3 correlate with decreased host transcription as measured by RNA-seq. Furthermore, we find by electron microscopy that loss of macroH2A1 results in reduced heterochromatin at the nuclear periphery and significantly more viral capsids trapped in the nuclear compartment. Using both high and low shedding clinical isolates of HSV-1, we similarly find that HSV-1 titers are significantly reduced in the absence of macroH2A1. Our work demonstrates that HSV-1 takes advantage of the dynamic nature of host heterochromatin formation during infection for efficient viral egress from the nuclear compartment.Overall design: mRNA sequencing during lytic Herpes Simplex Virus-1 infection in human foreskin fibroblasts knocked out for histone variant macroH2A1 and wild-type human foreskin fibroblasts"	""	"SRS14272840"	"RNA-Seq"	"FRED HUTCHINSON CANCER RESEARCH CENTER"	"SRX16638343"	"GSM6381556"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"439"	"358599"	"13886"	"48502592"	"40"	"6259067"	"1609"	"278597848"	"Illumina NovaSeq 6000"	"PAIRED"	"cDNA"	"TRANSCRIPTOMIC"	"GSM6381556"	"ILLUMINA"	"SRP387920"	"2023-07-01T00:00:00"	"2006"	"200"	"6814"	""	""	"0"	""	""	""	""
"SRR14633308"	"1"	"PRJNA732212"	"SAMN19314196"	"ChIP-Seq for POLR2A in HSV-1 infected human fibroblasts"	"MRC5 cells were mock-infected or infected with d109, n12, 5dl1.2, n199, or wildtype HSV-1 (KOS) for six hours at an MOI of 10 PFU/cell. ChIP-seq was performed for the POLR2A (RNA Pol II). Matched input chromatin was also sequenced. Illumina sequencing was performed using HiSeq2500 to generate 50 SE reads, adaptors are Illumina TruSeq 6 base."	""	"SRS9050554"	"ChIP-Seq"	"UNIVERSITY OF PITTSBURGH"	"SRX10973152"	"ChIP-Seq for POLR2A in HSV-1 infected human fibroblasts"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"35"	"148004"	"3402"	"6364378"	"41"	"6365025"	"2020"	"261875710"	"Illumina HiSeq 2500"	"SINGLE"	"ChIP"	"GENOMIC"	"POLR2A_KOS-6h"	"ILLUMINA"	"SRP321140"	"2021-12-06T00:00:00"	"1020"	"51"	"2442"	"Human"	""	"0"	""	""	""	""
"SRR8874978"	"1"	"PRJNA531885"	"SAMN11388300"	"Subcellular RNA fractions of HSV-1 infected primary human fibroblasts including infection with delta-Vhs mutant"	"Primary human foreskin fibroblasts (HFF) were infected with wild-type simplex virus 1 (HSV-1) strain 17 or its vhs null mutant at a multiplicity of infection (MOI) of 10. Subcellular RNA fractions including total RNA, cytoplasmic RNA, nucleoplasmic RNA and chromatin-associated RNA were prepared and subjected to RNA-seq.Overall design: HFF were infected with HSV-1 strain 17 or its vhs-null mutant for 8h (or mock). Subcellular RNA fractions were prepared combining the following two protocols (PMID: 19656867, RNA 2009; and PMID: 23449254, Nature Protocols 2013) as described in Hennig et al., PLoS Pathogens 2018 (https://doi.org/10.1371/journal.ppat.1006954). Two independent biological replicates were analysed. Data for HFF infected with wild-type HSV-1 strain 17 for 8h (or mock) can  be found under accession GSE100576."	"PubMed:33148793"	"SRS4605415"	"RNA-Seq"	"GEO"	"SRX5661944"	"GSM3716674"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	""	""	""	"213"	"313769"	"7886"	"24265696"	"37"	"2870965"	"1854"	"124459924"	"NextSeq 500"	"PAIRED"	"cDNA"	"TRANSCRIPTOMIC"	""	"ILLUMINA"	"SRP191795"	"2020-10-26T00:00:00"	"1630"	"150"	"4406"	""	""	"0"	""	""	""	""
